time,x,y
0.0,0.4,0.4
100.00019481617703,0.664,1.2
200.00089400278995,0.634,0.888
300.00038019043564,1.064,1.276
400.00267369301287,0.768,1.066
500.00142208895636,0.712,0.832
600.001277689966,0.714,1.17
700.0018032619611,0.662,0.974
800.0000956138568,0.704,1.098
900.0006806510006,0.614,0.948
1000.003784365249,0.748,0.994
1100.0002182171615,0.822,1.16
1200.0033240462924,0.696,1.05
1300.000660905017,0.75,0.994
1400.0015260938494,0.8,0.966
1500.0011902182516,0.666,1.022
1600.0005063413435,0.744,0.942
1700.0011457153796,0.708,0.972
1800.000298353629,0.852,1.25
1900.0013153401262,0.78,1.052
2000.000338379816,0.68,1.032
2100.0003191823334,0.806,1.098
2200.0029465217967,0.664,0.944
2300.001188188645,0.792,1.046
2400.0001997698764,0.818,1.294
2500.00418588987,0.786,0.988
2600.000297801705,0.73,1.108
2700.0104499501062,0.808,0.996
2800.0023014246294,0.748,1.174
2900.000031267194,0.704,0.766
3000.001247083909,0.656,1.13
3100.000242708081,0.834,0.836
3200.0003050249034,0.74,0.964
3300.000042079649,0.85,1.082
3400.000378440575,0.714,0.946
3500.001092455736,0.64,0.988
3600.0009690763322,0.854,0.924
3700.002324957122,0.672,0.932
3800.002805005703,0.71,1.02
3900.0000350114883,0.726,0.97
4000.000548561811,0.682,0.972
4100.00019769488,0.654,0.986
4200.000368967061,0.694,1.134
4300.000984823759,0.8,1.332
4400.0007975638055,0.758,1.012
4500.000612484451,0.864,0.978
4600.000284565857,0.798,1.04
4700.001434240977,0.756,1.05
4800.0018843545,0.704,0.918
4900.000218863337,0.86,1.244
5000.001242465921,0.762,1.208
5100.004653174052,0.778,1.068
5200.00017478052,0.758,1.022
5300.000260610956,0.814,0.934
5400.002175304987,0.652,0.824
5500.0046439313655,0.71,0.976
5600.000690005351,0.758,0.996
5700.005278282386,0.786,1.064
5800.00798084627,0.746,1.066
5900.000146888577,0.758,1.22
6000.000054700044,0.756,1.062
6100.001061530125,0.734,0.912
6200.000563378269,0.726,1.094
6300.0021242177045,0.618,1.048
6400.000533767754,0.924,1.15
6500.000798776956,0.822,1.296
6600.0039699081235,0.638,1.104
6700.0004810224755,0.832,0.964
6800.000192473266,0.856,0.814
6900.002839683575,0.78,1.032
7000.0019780882485,0.878,1.162
7100.007633336289,0.648,0.934
7200.000208208795,0.784,1.07
7300.000776017234,0.796,1.226
7400.0024802133485,0.77,1.044
7500.000103822801,0.704,1.082
7600.007250603788,0.68,1.08
7700.005456264335,0.816,1.172
7800.00001335584,0.782,1.042
7900.000287939912,0.736,0.996
8000.0016152015605,0.736,1.068
8100.006795400517,0.556,0.904
8200.005169704678,0.816,1.134
8300.000573287005,0.764,1.046
8400.000409463883,0.744,1.112
8500.000606367643,0.632,0.888
8600.001615192448,0.704,0.968
8700.000334379718,0.75,0.958
8800.002421828913,0.6,1.094
8900.000086487902,0.774,1.146
9000.00024834791,0.846,1.196
9100.005008403497,0.71,0.996
9200.004105198772,0.756,1.226
9300.000447842693,0.73,1.092
9400.000442295037,0.922,1.308
9500.000111345147,0.752,1.108
9600.0041500623,0.672,0.938
9700.000933697294,0.74,0.836
9800.000803538442,0.78,1.212
9900.001124827093,0.692,1.06
10000.000148997002,0.73,0.91
10100.000167969289,0.792,0.896
10200.008177319223,0.68,1.102
10300.001965341515,0.752,0.996
10400.000763895514,0.7,1.154
10500.004598318343,0.85,1.16
10600.000493886582,0.862,1.17
10700.005354286779,0.732,1.196
10800.001808635508,0.66,1.046
10900.000735216176,0.756,1.086
11000.000037552378,0.696,1.014
11100.000331092979,0.778,1.15
11200.004193155268,0.748,1.326
11300.00035756172,0.762,1.036
11400.000427399624,0.74,1.156
11500.002071621415,0.656,0.99
11600.000343506124,0.88,1.254
11700.00233618411,0.784,0.974
11800.002223409285,0.69,1.004
11900.006015437893,0.796,1.196
