X_1,X_2,Y_1,Y_2
926,952,1383,1276
1034,959,1617,1370
965,1015,1419,1505
916,915,1546,1609
956,1087,1487,1658
980,1060,1475,1397
923,1069,1310,1585
978,1101,1511,1320
946,1045,1271,1515
953,1048,1585,1534
1084,1055,1571,1636
1085,1062,1540,1230
1000,935,1450,1494
975,959,1481,1577
1004,1086,1353,1452
978,1043,1434,1273
1040,986,1740,1432
961,967,1454,1514
1081,998,1486,1530
1220,1088,1761,1611
999,1007,1514,1490
1000,1060,1270,1240
908,1081,1425,1247
944,840,1397,1403
985,997,1628,1483
1064,1004,1608,1569
1026,1087,1588,1525
917,965,1531,1609
955,1027,1475,1603
829,901,1387,1357
1019,1023,1576,1503
955,947,1420,1269
904,965,1412,1359
1005,1003,1397,1478
1052,1050,1586,1545
1029,1026,1375,1434
955,991,1537,1562
1084,999,1601,1544
835,970,1415,1379
956,877,1358,1358
940,1030,1550,1395
1049,909,1589,1350
974,1092,1441,1660
921,1028,1344,1363
1002,1089,1652,1577
874,1014,1413,1529
961,976,1388,1564
866,861,1577,1355
946,1006,1334,1585
1038,974,1448,1520
1018,1002,1240,1575
914,991,1476,1457
1059,989,1811,1458
864,1078,1375,1533
910,877,1642,1252
870,1046,1405,1528
1005,1127,1405,1582
957,847,1623,1171
975,1027,1464,1621
919,838,1426,1318
970,1025,1355,1317
1056,1180,1449,1700
926,1104,1398,1536
963,955,1434,1372
889,1070,1469,1738
1016,1069,1575,1393
1017,1058,1580,1753
1024,832,1500,1653
1015,1051,1422,1694
1027,1084,1383,1597
1023,949,1476,1615
1141,922,1750,1267
1017,987,1594,1707
1080,1073,1358,1696
956,1086,1443,1793
1020,1003,1582,1516
1024,1014,1416,1428
1011,983,1570,1666
1061,900,1450,1545
1054,998,1694,1403
1022,983,1534,1445
983,1054,1531,1504
940,929,1384,1440
996,948,1541,1503
1019,969,1384,1538
1000,1081,1461,1514
1108,1001,1650,1527
887,1074,1392,1834
1093,986,1590,1402
955,1053,1366,1232
944,956,1332,1289
1057,971,1659,1506
1093,983,1909,1641
1017,890,1314,1439
1000,1029,1374,1588
1025,1038,1476,1444
1143,1046,1598,1632
931,964,1382,1450
961,1036,1477,1375
849,1039,1308,1699
1046,995,1511,1512
979,1009,1560,1514
1107,1027,1630,1755
953,947,1335,1382
917,1108,1299,1693
1023,938,1320,1423
890,897,1343,1439
919,911,1337,1463
998,1014,1504,1717
1004,1011,1541,1516
935,822,1429,1418
993,996,1490,1455
906,974,1614,1540
1030,1095,1754,1637
1048,952,1627,1339
963,995,1487,1407
990,1022,1362,1392
818,1023,1605,1508
951,1167,1372,1781
999,921,1519,1376
857,940,1393,1447
866,1047,1471,1712
1138,1011,1718,1502
978,977,1683,1305
1022,1102,1483,1517
989,942,1612,1481
952,1042,1382,1446
998,927,1384,1351
983,993,1607,1499
970,1029,1468,1492
912,1044,1580,1588
1073,1086,1647,1506
1017,1026,1622,1396
944,1107,1528,1801
923,1014,1626,1344
998,1034,1462,1370
920,970,1440,1544
961,872,1364,1249
950,912,1444,1554
1087,928,1555,1675
1009,1038,1632,1623
857,984,1268,1265
976,1030,1477,1411
1071,959,1644,1648
967,890,1327,1517
1108,1005,1684,1481
1010,1009,1552,1573
1067,979,1179,1530
927,1021,1447,1486
907,907,1429,1524
985,975,1395,1456
1020,1017,1482,1459
1068,929,1388,1298
909,1094,1317,1248
907,912,1308,1450
971,1164,1643,1712
986,1013,1476,1329
1013,821,1492,1332
869,1108,1474,1261
977,1041,1565,1369
1071,1087,1653,1761
962,917,1352,1354
1014,988,1512,1328
1115,994,1261,1677
922,1110,1442,1635
1098,980,1589,1367
1018,1003,1493,1474
994,983,1373,1426
957,848,1444,1337
1045,1066,1533,1387
964,941,1295,1427
920,881,1361,1414
1037,1001,1437,1418
1079,882,1669,1305
1002,1123,1588,1575
1000,1017,1333,1777
1001,1054,1450,1401
1010,846,1289,1564
973,892,1395,1440
982,1006,1401,1386
1085,948,1194,1462
978,929,1457,1453
842,1003,1429,1516
977,937,1452,1246
1067,972,1569,1331
1032,892,1610,1400
962,931,1316,1305
965,940,1591,1366
998,872,1361,1430
1033,1041,1638,1494
1010,1007,1467,1469
1041,999,1357,1612
969,988,1450,1482
1032,1022,1812,1718
941,1002,1427,1584
1048,952,1605,1277
1062,1027,1540,1555
961,948,1482,1361
989,988,1602,1551
985,1005,1435,1403
965,1175,1524,1658
907,1005,1660,1513
1033,905,1349,1468
941,967,1354,1327
1069,977,1801,1488
1116,912,1611,1559
976,1011,1475,1623
915,972,1358,1520
1004,887,1625,1386
1047,1068,1608,1675
1050,978,1392,1424
942,1061,1586,1617
1093,989,1739,1356
915,973,1611,1527
949,1010,1472,1514
921,1062,1562,1404
1167,1032,1612,1460
1061,1005,1578,1602
1070,1005,1675,1464
949,1015,1523,1716
817,1034,1430,1506
999,1104,1462,1709
983,949,1509,1458
1048,974,1801,1420
954,985,1455,1451
1010,973,1409,1465
955,1047,1470,1644
1006,1021,1705,1504
1023,1072,1448,1392
1015,923,1442,1437
1035,980,1473,1434
1011,1040,1380,1419
1003,923,1319,1304
984,1033,1456,1713
1066,992,1619,1490
894,982,1515,1488
1032,1074,1417,1492
969,1008,1333,1669
974,871,1408,1448
957,960,1364,1599
966,1063,1355,1601
1049,1020,1561,1353
1059,961,1688,1499
934,1011,1543,1419
894,1153,1429,1677
1022,886,1652,1482
878,932,1433,1354
1032,903,1553,1425
880,1010,1452,1415
1065,1010,1760,1521
1027,1043,1546,1704
1027,918,1499,1220
1046,1061,1581,1750
1054,1019,1610,1645
956,1029,1629,1446
1090,847,1622,1308
1054,1050,1372,1487
1020,1108,1508,1543
1060,984,1589,1430
986,1018,1584,1445
888,1009,1537,1503
919,964,1450,1441
1010,978,1649,1454
1045,916,1606,1393
980,946,1501,1466
1013,1017,1608,1559
953,1146,1361,1628
917,1063,1642,1446
1097,913,1327,1603
1094,854,1233,1615
1033,1027,1530,1346
1038,1009,1453,1288
908,1017,1454,1439
1138,954,1724,1432
1060,1017,1723,1482
1036,883,1583,1368
955,1008,1351,1498
1004,993,1379,1476
983,1025,1544,1386
1016,1065,1503,1556
983,967,1365,1454
1065,977,1736,1463
1049,951,1390,1531
1006,886,1772,1481
1021,1003,1393,1625
956,1020,1513,1525
1042,916,1488,1594
962,1097,1366,1577
948,949,1386,1318
952,1029,1445,1344
955,953,1276,1418
938,853,1337,1423
861,937,1359,1293
1017,1072,1504,1492
1050,1109,1566,1232
928,1025,1250,1655
1071,997,1591,1362
1025,992,1747,1454
1035,855,1499,1340
916,961,1661,1339
958,904,1532,1437
1069,983,1777,1458
984,960,1524,1523
999,940,1495,1529
986,1018,1488,1545
965,886,1530,1553
791,925,1386,1573
1051,1045,1414,1638
1004,1043,1495,1265
972,1030,1486,1648
1037,1009,1682,1292
1006,924,1587,1633
939,970,1541,1464
871,1045,1409,1671
990,1009,1447,1444
953,981,1279,1391
1106,1000,1569,1401
1135,934,1635,1278
973,1015,1499,1284
1032,995,1471,1407
1041,987,1451,1405
1080,886,1437,1417
1023,963,1414,1449
892,924,1315,1439
955,982,1465,1441
1013,949,1440,1427
1000,1039,1525,1722
1133,1032,1653,1517
959,1097,1378,1272
1003,1026,1780,1430
1003,1046,1366,1595
1061,929,1402,1351
986,1040,1440,1414
949,966,1381,1607
1021,894,1557,1389
853,987,1470,1462
999,910,1421,1237
1010,944,1376,1518
1044,1016,1616,1364
925,980,1396,1701
1084,1023,1569,1429
917,1014,1405,1498
1007,915,1478,1386
1001,853,1471,1427
1009,936,1477,1478
917,925,1584,1371
938,984,1419,1467
991,1105,1593,1708
1012,1041,1674,1477
990,1047,1401,1597
881,950,1594,1645
977,1015,1626,1685
944,947,1538,1377
956,975,1316,1344
974,863,1412,1413
994,906,1389,1300
1038,1014,1617,1526
