X_1,X_2,Y_1,Y_2
1112.0,1055.0,1723,1603
1035.0,972.0,1781,1628
854.0,903.0,1262,1330
997.0,1010.0,1439,1667
882.0,927.0,1279,1349
950.0,1040.0,1348,1606
1006.0,956.0,1371,1490
914.0,1023.0,1362,1602
928.0,1047.0,1333,1918
1034.0,1009.0,1658,1496
993.0,944.0,1473,1444
980.0,1023.0,1688,1635
875.0,960.0,1279,1308
1009.0,1056.0,1654,1751
952.0,983.0,1416,1572
988.0,866.0,1417,1585
1048.0,1015.0,1706,1899
1079.0,1028.0,2075,1643
1084.0,1095.0,1635,1649
927.0,933.0,1481,1357
958.0,1075.0,1264,1589
946.0,1038.0,1205,1426
1073.0,1096.0,1739,1574
998.0,1004.0,1637,1492
1047.0,963.0,1319,1576
915.0,1094.0,1501,2079
1102.0,1084.0,1534,1745
885.0,1077.0,1454,1432
1017.0,989.0,1482,1673
1041.0,978.0,1520,1632
962.0,994.0,1326,1516
984.0,963.0,1754,1491
1032.0,1083.0,1958,1448
1102.0,1042.0,1519,1654
1011.0,1115.0,1499,1760
920.0,1015.0,1505,1729
936.0,920.0,1489,1439
989.0,900.0,1727,1488
1000.0,913.0,1354,1518
916.0,905.0,1407,1528
1022.0,1072.0,1595,1814
1024.0,958.0,1893,1527
829.0,988.0,1287,1585
910.0,1098.0,1448,1777
1104.0,1003.0,1681,1691
873.0,1000.0,1462,1484
1084.0,928.0,1865,1262
978.0,1028.0,1481,1667
1014.0,1012.0,1941,1259.0
953.0,975.0,1266,1645
886.0,911.0,1377,1585
919.0,985.0,1570,1442
1024.0,1044.0,1404,1979
1043.0,912.0,1430,1274
1015.0,942.0,1678,1224
992.0,1018.0,1690,1519
975.0,1054.0,1510,1669
856.0,1058.0,1405,1930
1012.0,975.0,1426,1405
915.0,1124.0,1503,1479
928.0,910.0,1197,1248
974.0,1108.0,1443,1738
989.0,1038.0,1463,1385
964.0,950.0,1476,1787
1054.0,1068.0,1644,1524
926.0,961.0,1655,1439
1025.0,923.0,1521,1355
839.0,988.0,1443,1522
846.0,959.0,1444,1203
903.0,978.0,1293,1499
1047.0,967.0,1646,1353
915.0,977.0,1366,1528
1001.0,1009.0,1415,1653
1042.0,921.0,1959,1360
853.0,1033.0,1454,1725
1063.0,981.0,1448,1428
1032.0,1045.0,1370,1521
1031.0,902.0,1317,1251
905.0,941.0,1257,1676
907.0,993.0,1380,1500
1117.0,926.0,1622,1262
981.0,1107.0,1380,1601
966.0,943.0,1384,1396
989.0,1008.0,1387,1686
887.0,1055.0,1385,1726
1095.0,1016.0,1712,1507
1098.0,991.0,1523,1439
1033.0,1012.0,1681,1607
1055.0,1047.0,1650,1397
982.0,928.0,1468,1456
898.0,990.0,1380,1674
1004.0,969.0,1425,1338
983.0,1046.0,1508,1609
1024.0,1005.0,1442,1739
1006.0,967.0,1704,1315
918.0,961.0,1534,1499
840.0,910.0,1251,1656
940.0,1102.0,1315,1707
1009.0,1041.0,1469,1633
894.0,804.0,1443,1312
978.0,1074.0,1475,1480
1035.0,859.0,1938,1269
1029.0,983.0,1961,1683
891.0,891.0,1455,1514
1024.0,977.0,1688,1428
909.0,997.0,1229,1550
901.0,1112.0,1536,1693
1029.0,1016.0,1939,1478
1026.0,990.0,1639,1586
1010.0,1002.0,1545,1645
851.0,1095.0,1462,1621
993.0,935.0,1478,1812
1082.0,1106.0,1652,1944
1056.0,963.0,1543,1380
1092.0,1009.0,1929,1693
1058.0,972.0,1648,1591
1003.0,888.0,1507,1494
920.0,1092.0,1277,1816
1065.0,995.0,1467,1337
1034.0,1063.0,1768,1796
1074.0,955.0,1439,1492
987.0,991.0,1396,1969
1015.0,1070.0,1520,1744
947.0,997.0,1403,1428
951.0,1028.0,1446,1655
1019.0,943.0,1577,1431
1009.0,983.0,1898,1637
1068.0,1033.0,1953,1630
996.0,1001.0,1401,1459
1009.0,953.0,1437,1539
985.0,1059.0,1357,1347
936.0,1064.0,1370,1687
993.0,1014.0,1728,1419
1011.0,953.0,1413,1438
956.0,903.0,1291,1390
883.0,1012.0,1645,1497
923.0,1087.0,1355,1587
1090.0,1043.0,1727,1576
840.0,1119.0,1286,1716
1062.0,1025.0,1501,1574
894.0,864.0,1453,1492
896.0,899.0,1415,1301
1027.0,1064.0,1442,1896
977.0,907.0,1751,1437
949.0,949.0,1371,1481
952.0,950.0,1402,1455
985.0,1006.0,1640,1890
988.0,937.0,1446,1506
978.0,1004.0,1580,1471
964.0,971.0,1662,1334
943.0,988.0,1374,1473
1014.0,1045.0,1419,1594
983.0,928.0,1578,1444
970.0,1003.0,1613,1604
846.0,974.0,1461,1614
972.0,910.0,1342,1353
977.0,1088.0,1458,1522
929.0,957.0,1472,1336
1049.0,1020.0,1974,1618
1001.0,966.0,1432,1311
1003.0,1115.0,1445,1874
977.0,1017.0,1436,1510
1047.0,985.0,1686,1917
1035.0,1014.0,1543,1589
1012.0,960.0,1613,1501
938.0,944.0,1451,1291
993.0,938.0,1800,1474
1028.0,986.0,1493,1787
927.0,909.0,1357,1441
997.0,899.0,1742,1431
1074.0,1051.0,1948,1463
1021.0,1019.0,1601,1728
958.0,960.0,1376,1410
1025.0,947.0,1699,1512
1080.0,1065.0,1470,1691
1012.0,977.0,1506,1559
963.0,1030.0,1308,1662
963.0,1022.0,1360,1349
977.0,1004.0,1252,1772
948.0,1058.0,1475,1486
1102.0,913.0,1760,1329
993.0,1029.0,1520,1367
920.0,971.0,1754,1452
993.0,1008.0,1519,1520
1120.0,881.0,1727,1537
991.0,931.0,1487,1356
1022.0,1011.0,1513,1268
946.0,1048.0,1593,1452
995.0,1032.0,1733,1635
925.0,958.0,1396,1467
1001.0,978.0,1607,1441
1036.0,937.0,1447,1216
955.0,1020.0,1505,1547
1011.0,1071.0,1541,1478
948.0,986.0,1656,1527
951.0,1090.0,1538,1434
1112.0,967.0,1416,1434
914.0,908.0,1280,1258
1043.0,1022.0,1584,1439
1040.0,962.0,1700,1555
1001.0,1053.0,1503,1437
985.0,973.0,1591,1390
1000.0,938.0,1706,1466
1146.0,955.0,1774,1369
1042.0,950.0,1319,1668
1016.0,1042.0,1447,1748
979.0,1102.0,1517,1470
1031.0,1007.0,1591,1383
1002.0,963.0,1380,1507
935.0,1019.0,1301,1632
1004.0,984.0,1767,1444
986.0,969.0,1312,1519
959.0,929.0,1527,1189
946.0,1044.0,1598,1940
894.0,1002.0,1571,1534
1035.0,964.0,1751,1470
1029.0,980.0,1601,1454
1015.0,921.0,1687,1384
910.0,1066.0,1381,1904
1005.0,980.0,1699,1516
927.0,1032.0,1368,1263
964.0,1072.0,1380,1870
1009.0,1032.0,1328,1490
980.0,1001.0,1578,1524
975.0,951.0,1588,1472
922.0,879.0,1250,1510
1037.0,933.0,1360,1453
1092.0,990.0,1514,1643
1099.0,1038.0,1467,1939
911.0,1046.0,1381,1412
1066.0,981.0,1547,1471
1049.0,1106.0,1489,1711
1028.0,951.0,1354,1497
1003.0,951.0,1892,1778
1033.0,1000.0,1748,1685
1071.0,944.0,1658,1471
920.0,982.0,1202,1686
1032.0,954.0,1533,1519
896.0,1005.0,1382,1812
1030.0,984.0,1422,1387
1029.0,893.0,1513,1282
1082.0,848.0,1459,1248
953.0,1090.0,1442,1695
1079.0,1103.0,1759,1553
915.0,1011.0,1451,1345
1091.0,1027.0,1727,1546
990.0,1063.0,1877,1610
1004.0,1021.0,1849,1419
973.0,916.0,1551,1342
960.0,1029.0,1464,1488
988.0,940.0,1373,1313
1086.0,954.0,1531,1667
969.0,1059.0,1439,1479
999.0,946.0,1483,1419
1081.0,1008.0,2076,1442
1053.0,982.0,1741,1615
995.0,1032.0,1674,1401
1055.0,1002.0,1508,1413
1029.0,1160.0,1848,1756
994.0,1036.0,1533,1503
1092.0,1006.0,1649,1537
1016.0,997.0,1495,1344
1043.0,980.0,1515,1588
1005.0,1020.0,1735,1547
881.0,1027.0,1249,1860
1073.0,1049.0,1410,1752
1055.0,909.0,1923,1649
878.0,924.0,1575,1392
972.0,1039.0,1235,1501
910.0,935.0,1383,1559
1023.0,1057.0,1736,1667
1069.0,1102.0,1467,1701
982.0,945.0,1619,1189
1015.0,996.0,1443,1460
1049.0,1024.0,1966,1499
950.0,968.0,1435,1571
1058.0,1023.0,1753,1484
1027.0,991.0,1329,1513
1022.0,974.0,1451,1517
943.0,938.0,1396,1330
998.0,1075.0,1584,1426
1014.0,976.0,1441,1521
887.0,1055.0,1410,1901
1027.0,1022.0,1912,1432
956.0,954.0,1488,1749
998.0,995.0,1731,1623
1015.0,1089.0,1386,1453
934.0,985.0,1573,1531
1070.0,994.0,1699,1436
898.0,1013.0,1677,1944
995.0,977.0,1713,1376
1058.0,1042.0,1537,1677
922.0,1056.0,1740,1642
890.0,1059.0,1531,1935
1005.0,979.0,1439,1528
1011.0,1024.0,1925,1797
1053.0,939.0,1698,1363
996.0,1072.0,1281,1489
1042.0,978.0,1472,1464
980.0,1065.0,1372,1493
820.0,945.0,1522,1475
1022.0,917.0,1472,1216
975.0,1004.0,1399,1408
1082.0,1060.0,1523,1492
1032.0,1065.0,1578,1686
890.0,1032.0,1351,1978
1106.0,921.0,1710,1744
994.0,997.0,1488,1676
1025.0,957.0,1378,1619
970.0,933.0,1447,1433
1081.0,931.0,1758,1438
897.0,1021.0,1377,1499
994.0,993.0,1635,1495
1105.0,1034.0,1800,1564
942.0,1001.0,1457,1393
1118.0,900.0,1725,1375
1053.0,1008.0,1488,1504
961.0,1031.0,1348,1552
1012.0,1025.0,1450,1702
918.0,1033.0,1267,1939
976.0,1041.0,1846,1753
1019.0,982.0,1467,1386
941.0,1082.0,1435,1679
889.0,1008.0,1297,1518
890.0,1033.0,1582,1449
957.0,998.0,1197,1569
882.0,909.0,1232,1433
953.0,920.0,1329,1443
1057.0,834.0,1465,1199
1018.0,1026.0,1378,1411
1040.0,1088.0,1334,1577
906.0,924.0,1251,1452
959.0,879.0,1570,1381
911.0,919.0,1505,1450
1013.0,1017.0,1390,1535
947.0,1130.0,1353,1695
1008.0,1002.0,1314,1631
991.0,1032.0,1424,1478
884.0,884.0,1296,1420
974.0,1030.0,1467,1681
1029.0,1037.0,1535,1716
1078.0,952.0,1454,1689
986.0,1027.0,1491,1627
974.0,952.0,1327,1606
1020.0,1073.0,1526,1942
1017.0,978.0,1438,1587
967.0,969.0,1514,1732
1011.0,960.0,1617,1457
965.0,1019.0,1467,1511
953.0,934.0,1583,1438
1026.0,887.0,1519,1532
1042.0,1004.0,1607,1643
880.0,869.0,1449,1582
900.0,1020.0,1274,1769
1019.0,903.0,1618,1496
921.0,1025.0,1398,1431
920.0,1032.0,1246,1701
1121.0,1030.0,2037,1858
1010.0,1042.0,1661,1796
922.0,915.0,1431,1413
925.0,977.0,1289,1406
1103.0,980.0,1383,1349
892.0,972.0,1355,1546
1004.0,921.0,1476,1374
1056.0,888.0,1651,1302
993.0,1020.0,1592,1734
1042.0,985.0,1964,1385
938.0,952.0,1343,1458
1056.0,861.0,1720,1556
1009.0,1007.0,1270,1458
1023.0,990.0,1667,1253
1025.0,1006.0,1953,1707
907.0,1008.0,1499,1465
1038.0,1041.0,1462,1924
1014.0,980.0,1674,1490
948.0,1048.0,1373,1668
1022.0,914.0,1614,1252
1008.0,1025.0,1351,1959
1052.0,1039.0,1660,1942
973.0,1025.0,1556,1561
991.0,983.0,1562,1555
