Individual_ID,X_1,X_2,Y_1,Y_2
1,954,1079,1355,1751
2,1000,1047,1640,1558
3,970,980,1353,1656
4,938,982,1196,1519
5,1027,891,1760,1336
6,959,982,1467,1373
7,873,928,1239,1458
8,1069,1028,1606,1525
9,1046,900,1659,1272
10,1021,943,1456,1394
11,939,1022,1505,1654
12,891,1093,1248,1588
13,1017,1029,1425,1537
14,949,1012,1295,1754
15,886,886,1334,1461
16,982,1059,1611,1705
17,983,837,1540,1213
18,991,995,1306,1479
19,985,1006,1539,1630
20,910,1117,1678,1278
21,1032,968,1750,1436
22,949,1053,1200,1415
23,962,1008,1336,1493
24,903,932,1420,1600
25,923,968,1385,1363
26,1058,992,1780,1591
27,970,957,1626,1506
28,1132,1022,1816,1537
29,1030,865,1523,1535
30,1028,812,1710,1251
31,985,944,1542,1328
32,906,1004,1325,1611
33,1053,1048,1548,1642
34,850,1089,1340,1580
35,962,1004,1517,1546
36,1046,1079,1352,1477
37,1014,942,1495,1364
38,960,887,1494,1627
39,971,951,1154,1547
40,963,981,1472,1427
41,983,991,1548,1519
42,960,1016,1292,1524
43,1002,879,1605,1201
44,1067,1041,1380,1301
45,1039,1030,1739,1542
46,935,993,1323,1498
47,1125,967,1665,1510
48,976,1028,1515,1644
49,1023,1045,1574,1556
50,1017,1013,1227,1213
51,1021,884,1586,1321
52,1034,969,1636,1504
53,1034,1125,1485,1478
54,974,953,1352,1565
55,1113,893,1955,1490
56,999,970,1497,1703
57,1030,1042,1811,1662
58,1090,931,1629,1679
59,903,1115,1519,1604
60,941,1118,1453,1498
61,994,967,1489,1541
62,947,1091,1367,1575
63,954,968,1465,1396
64,1028,1070,1442,1503
65,939,1054,1498,1608
66,946,963,1434,1592
67,1107,1046,1735,1394
68,1126,1028,1470,1492
69,1001,1050,1544,1609
70,986,972,1448,1383
71,998,926,1397,1681
72,1003,1031,1470,1603
73,934,954,1512,1362
74,881,932,1326,1450
75,977,986,1267,1368
76,978,1097,1402,1608
77,996,1025,1459,1596
78,1041,934,1436,1414
79,878,970,1510,1377
80,950,1009,1353,1500
81,976,993,1474,1508
82,977,965,1332,1287
83,1002,988,1678,1706
84,949,895,1520,1305
85,1010,991,1481,1585
86,898,931,1301,1513
87,921,1041,1525,1733
88,1086,962,1713,1666
89,1039,978,1575,1555
90,1034,1056,1636,1622
91,1017,1011,1478,1547
92,1019,893,1519,1349
93,953,1028,1505,1826
94,869,941,1381,1494
95,928,1011,1542,1596
96,946,1027,1431,1592
97,1042,1021,1614,1392
98,1045,936,1648,1326
99,975,950,1483,1359
100,937,906,1463,1601
101,965,931,1399,1275
102,1055,1023,1614,1573
103,957,1097,1514,1496
104,1050,915,1572,1549
105,1064,967,1617,1486
106,967,955,1346,1463
107,1043,988,1729,1290
108,1004,992,1441,1553
109,974,1011,1617,1657
110,978,996,1636,1530
111,934,1161,1430,1367
112,923,1043,1382,1497
113,1063,1064,1552,1662
114,998,1007,1374,1468
115,992,1016,1688,1662
116,1045,1026,1702,1458
117,875,915,1458,1561
118,1004,911,1715,1587
119,1029,1045,1730,1803
120,969,1046,1432,1201
121,942,949,1471,1359
122,928,1024,1278,1413
123,895,969,1388,1483
124,1045,1049,1516,1556
125,1003,1046,1525,1518
126,1053,1042,1600,1542
127,966,997,1655,1502
128,1037,943,1594,1570
129,1063,988,1613,1532
130,1027,1078,1488,1563
131,993,1011,1512,1452
132,1040,940,1660,1291
133,950,961,1465,1437
134,974,965,1590,1420
135,1091,1021,1499,1510
136,917,1113,1537,1688
137,1080,1013,1498,1336
138,930,970,1527,1547
139,1043,990,1578,1440
140,1064,943,1605,1398
141,922,1008,1493,1499
142,1030,973,1463,1517
143,990,913,1501,1485
144,926,1022,1360,1516
145,1026,996,1552,1518
146,878,920,1324,1400
147,992,998,1209,1476
148,968,1001,1434,1636
149,970,1029,1410,1449
150,916,1011,1450,1506
151,1012,1006,1367,1311
152,1040,1063,1463,1667
153,929,880,1520,1369
154,946,970,1483,1604
155,1097,1020,1578,1505
156,976,989,1581,1558
157,979,1000,1550,1562
158,1032,993,1637,1535
159,940,1025,1253,1742
160,1192,911,1337,1418
161,1034,1171,1624,1492
162,929,982,1437,1315
163,947,991,1645,1447
164,948,1039,1452,1262
165,1137,963,1535,1514
166,1040,1055,1548,1516
167,1085,1021,1528,1578
168,1020,1019,1496,1617
169,978,936,1542,1302
170,1046,968,1454,1520
171,923,1053,1556,1653
172,1006,1068,1484,1527
173,993,844,1314,1359
174,1031,958,1642,1505
175,914,931,1458,1363
176,941,942,1663,1635
177,1020,971,1652,1521
178,971,998,1413,1408
179,1107,1021,1619,1514
