Individual_ID,X_1,X_2,Y_1,Y_2
1,1012,962,1515,1504
2,994,990,1495,1512
3,980,1019,1480,1499
4,976,1021,1489,1458
5,982,1014,1538,1516
6,990,969,1527,1558
7,1010,1004,1498,1430
8,987,999,1485,1567
9,964,1014,1509,1491
10,994,981,1522,1467
11,1006,990,1524,1509
12,1004,1001,1534,1536
13,1027,1006,1526,1466
14,1055,997,1513,1481
15,1018,1023,1521,1501
16,1010,970,1487,1502
17,990,1014,1503,1451
18,983,1045,1510,1483
19,961,968,1521,1565
20,954,966,1492,1476
21,949,968,1502,1490
22,1035,949,1500,1474
23,992,970,1493,1529
24,1016,1011,1500,1507
25,978,991,1471,1470
26,1015,972,1548,1468
27,998,1015,1469,1536
28,1023,1031,1598,1515
29,1023,935,1496,1527
30,1037,975,1538,1504
31,967,1024,1488,1479
32,1065,1003,1502,1437
33,1016,978,1507,1502
34,1032,939,1561,1422
35,983,1003,1531,1548
36,984,929,1533,1515
37,1036,1001,1520,1496
38,969,1000,1534,1490
39,1004,1039,1573,1514
40,1013,1004,1473,1538
41,994,1038,1479,1458
42,973,1007,1468,1525
43,976,1043,1520,1531
44,988,969,1489,1432
45,1026,1034,1520,1426
46,1022,971,1515,1490
47,1022,1023,1443,1500
48,964,1001,1570,1430
49,1046,1012,1571,1510
50,1036,1027,1515,1565
51,1000,947,1570,1504
52,991,979,1561,1397
53,1028,932,1542,1469
54,1050,1026,1452,1518
55,993,1026,1563,1504
56,1050,981,1520,1490
57,1029,1042,1534,1499
58,976,895,1508,1514
59,1040,1009,1520,1502
60,1012,1009,1503,1504
61,1019,1054,1471,1557
62,1009,981,1564,1506
63,1025,1084,1539,1538
64,1021,949,1474,1512
65,961,1008,1507,1460
66,936,978,1532,1507
67,1093,1038,1483,1521
68,1008,969,1492,1548
69,1008,1066,1546,1575
70,962,1035,1551,1440
71,972,960,1469,1559
72,1007,1002,1487,1481
73,1021,1003,1526,1473
74,956,980,1566,1489
75,1019,1033,1496,1534
76,982,996,1418,1464
77,989,990,1487,1509
78,960,1034,1542,1536
79,969,1029,1548,1501
80,982,932,1531,1464
81,1007,1042,1527,1501
82,992,965,1487,1518
83,1000,970,1457,1533
84,957,994,1594,1490
85,1007,1036,1520,1530
86,996,1033,1422,1484
87,1002,983,1571,1493
88,1002,990,1531,1567
89,1006,953,1512,1474
90,1006,1026,1540,1502
91,999,1060,1576,1527
92,1026,1069,1410,1444
93,1006,1027,1495,1524
94,1007,964,1562,1500
95,1058,1016,1503,1540
96,1038,1050,1481,1479
97,928,946,1466,1531
98,1004,1005,1520,1466
99,1052,1016,1551,1543
100,984,954,1508,1607
101,1001,930,1547,1564
102,1043,975,1458,1578
103,1017,1040,1490,1501
104,935,991,1477,1502
105,1020,1022,1510,1475
106,1015,973,1500,1553
107,896,961,1513,1491
108,1042,1007,1594,1546
109,916,975,1471,1520
110,1015,1041,1468,1494
111,976,1043,1530,1531
112,974,1002,1467,1495
113,1007,974,1511,1556
114,1031,1013,1544,1546
115,1022,985,1526,1463
116,1048,938,1510,1447
117,1059,1009,1538,1473
118,1016,996,1537,1511
119,1008,1023,1456,1498
120,1010,967,1512,1521
121,989,1001,1519,1510
122,1008,999,1562,1580
123,927,1006,1495,1506
124,987,1067,1524,1519
125,1026,1049,1494,1537
126,1042,981,1540,1476
127,1059,945,1510,1540
128,971,979,1432,1505
129,993,1041,1507,1546
130,1002,1027,1552,1519
131,928,1040,1462,1494
132,980,1035,1461,1565
133,1034,1025,1593,1464
134,981,989,1474,1537
135,1020,1074,1541,1554
136,1016,937,1484,1562
137,995,974,1486,1430
138,1042,990,1536,1521
139,990,933,1477,1534
140,1027,1041,1542,1579
141,979,993,1548,1510
142,1023,1004,1506,1578
143,970,956,1378,1470
144,1024,947,1437,1489
145,1008,1022,1557,1428
146,973,1018,1540,1593
147,959,1010,1546,1487
148,993,985,1491,1504
149,1013,1010,1556,1501
150,974,965,1590,1449
151,971,994,1542,1500
152,953,957,1506,1483
153,958,998,1498,1468
154,997,954,1459,1571
155,1046,966,1515,1494
156,962,992,1508,1539
157,1028,946,1498,1463
158,992,1020,1509,1547
159,1067,1027,1561,1459
160,929,1008,1491,1484
161,1022,945,1520,1514
162,1033,927,1497,1471
163,915,959,1531,1489
164,1025,995,1477,1506
165,1083,1004,1576,1451
166,989,957,1518,1525
167,955,984,1507,1501
168,1040,1005,1501,1528
169,1010,985,1518,1558
170,1039,993,1456,1494
171,976,1008,1487,1509
172,1022,1042,1451,1529
173,1007,979,1477,1551
174,1000,984,1504,1438
175,992,966,1555,1472
176,1069,998,1498,1554
177,1028,1030,1512,1473
178,979,986,1467,1487
179,1018,1040,1500,1529
180,1002,975,1515,1517
181,1019,956,1489,1444
182,1064,1054,1513,1485
183,992,1006,1487,1487
184,1029,976,1533,1490
185,990,1025,1483,1533
186,997,992,1482,1504
187,1000,956,1502,1489
188,995,1041,1561,1481
189,962,1010,1502,1493
190,913,1024,1504,1545
191,965,1011,1524,1577
192,906,984,1457,1571
193,1006,966,1471,1542
194,986,976,1540,1473
195,982,1016,1492,1559
196,1009,953,1530,1537
197,1032,1025,1547,1527
198,948,1086,1485,1457
199,994,1033,1509,1522
200,1028,999,1454,1529
201,977,964,1485,1481
202,1014,940,1521,1436
203,983,1030,1460,1495
204,975,992,1621,1484
205,989,1019,1505,1497
206,991,943,1514,1471
207,992,1086,1504,1544
208,985,986,1430,1490
209,1039,1005,1562,1500
210,1061,966,1570,1519
211,1063,999,1540,1491
212,969,990,1464,1461
213,1028,1072,1493,1467
214,977,1054,1578,1560
215,1007,953,1540,1486
216,983,1011,1420,1530
217,942,976,1532,1518
218,991,956,1566,1491
219,985,1024,1521,1474
220,996,1016,1513,1473
221,1011,997,1551,1535
222,1000,976,1538,1585
223,1023,955,1518,1527
224,1000,990,1551,1476
225,1028,1003,1533,1484
226,921,972,1380,1498
227,1031,950,1524,1467
228,1024,1015,1516,1529
229,1048,932,1540,1468
230,977,1003,1508,1441
231,1011,994,1490,1513
232,992,918,1465,1471
233,1089,1030,1489,1538
234,974,1017,1504,1474
235,959,1067,1457,1515
236,1064,989,1508,1538
237,952,987,1502,1516
238,1050,1008,1562,1488
239,999,1010,1503,1528
240,1005,1043,1516,1465
241,994,989,1495,1533
242,1046,1031,1476,1399
243,937,983,1504,1474
244,1076,971,1520,1537
245,1009,1004,1571,1521
246,968,1002,1503,1462
247,1020,983,1484,1581
248,1055,962,1545,1543
249,982,992,1572,1541
250,995,999,1427,1432
251,992,937,1536,1495
252,954,1016,1492,1586
253,950,979,1577,1485
254,1016,1002,1494,1515
255,960,989,1543,1480
256,997,1035,1502,1513
257,982,1009,1543,1501
258,921,986,1470,1494
259,989,976,1472,1520
260,978,1023,1502,1510
261,990,990,1481,1495
262,961,991,1569,1556
263,922,916,1500,1513
264,1028,1021,1504,1486
265,996,1021,1471,1478
266,1031,1078,1513,1534
267,1043,1057,1513,1559
268,1026,1009,1529,1575
269,928,1051,1553,1508
270,1005,1014,1471,1535
271,1041,995,1516,1545
272,973,960,1496,1399
273,1039,1030,1452,1472
274,1005,1029,1467,1458
275,1026,992,1483,1506
276,1012,1037,1521,1537
277,1021,988,1543,1513
278,992,982,1507,1521
279,984,1043,1489,1469
280,1046,982,1525,1475
281,1035,1058,1476,1591
282,1000,1070,1494,1488
283,976,983,1551,1500
284,972,1019,1498,1516
285,977,1041,1512,1530
286,940,1035,1545,1508
287,989,963,1509,1470
288,992,1017,1467,1497
289,968,1027,1506,1538
290,1062,1070,1511,1551
291,982,995,1516,1466
292,1007,1036,1535,1525
293,998,1018,1455,1518
294,1069,1042,1537,1490
295,1024,1060,1514,1549
296,979,1027,1494,1511
297,1076,1013,1514,1472
298,991,973,1472,1574
299,1021,997,1478,1533
300,989,991,1411,1574
301,1003,958,1485,1528
302,970,1013,1480,1544
303,962,987,1462,1516
304,1025,1001,1522,1483
305,967,989,1487,1500
306,998,991,1559,1490
307,983,1003,1500,1470
308,1004,966,1512,1484
309,991,1054,1498,1456
310,973,939,1506,1571
311,1024,965,1509,1436
312,997,993,1534,1481
313,999,999,1515,1506
314,986,971,1539,1541
315,1056,929,1485,1554
316,1022,1003,1561,1524
317,942,981,1481,1454
318,992,1005,1577,1490
319,935,937,1455,1439
320,1018,1048,1500,1483
321,972,1064,1540,1522
322,1006,984,1484,1464
323,976,950,1555,1526
324,1029,987,1484,1500
325,1009,976,1493,1473
326,999,947,1563,1477
327,1008,1005,1413,1579
328,1032,1015,1510,1490
329,934,1040,1436,1536
330,1015,958,1451,1496
331,997,966,1592,1565
332,1001,907,1512,1533
333,992,1008,1507,1516
334,974,962,1584,1465
335,1007,1006,1546,1599
336,956,941,1489,1556
337,985,1019,1530,1540
338,951,979,1481,1524
339,1085,972,1485,1447
340,1046,958,1561,1421
341,1034,1020,1515,1439
342,958,991,1501,1389
343,1029,1052,1536,1418
344,966,963,1523,1467
345,1013,971,1501,1559
346,1013,1000,1446,1533
347,1021,965,1494,1529
348,978,998,1469,1528
349,999,976,1474,1521
350,996,951,1501,1525
351,967,1066,1574,1575
352,1023,943,1523,1519
353,986,995,1515,1509
354,945,971,1459,1463
355,992,995,1562,1527
356,998,972,1498,1469
357,1055,950,1529,1466
358,979,974,1551,1493
359,996,1003,1536,1521
360,1055,972,1520,1561
361,1011,989,1555,1489
362,983,1017,1493,1487
363,1035,1033,1550,1495
364,1010,1022,1579,1524
365,997,972,1465,1483
366,1068,994,1526,1540
367,1048,1018,1509,1552
368,1011,1021,1454,1508
369,973,1040,1489,1496
370,1001,971,1534,1482
371,1021,994,1522,1553
372,978,1002,1531,1510
373,1038,1023,1487,1493
374,979,988,1530,1503
375,989,1036,1538,1496
376,997,1007,1509,1497
377,938,1006,1420,1508
378,1027,1020,1498,1528
379,1007,1004,1478,1527
380,976,1083,1559,1470
381,979,1032,1480,1473
382,1006,958,1587,1399
383,961,1010,1439,1590
384,990,1003,1502,1503
385,984,963,1526,1478
386,1035,971,1597,1473
387,970,1039,1503,1487
388,1047,975,1461,1487
389,991,986,1487,1530
390,1042,920,1546,1505
391,1003,1018,1514,1481
392,958,992,1508,1514
393,1026,983,1472,1424
394,977,1042,1520,1469
395,1012,1026,1518,1509
396,954,1024,1519,1490
397,1029,1021,1498,1444
398,968,987,1463,1531
399,942,1008,1476,1499
400,1039,1021,1496,1486
401,986,1003,1478,1573
402,1004,1008,1466,1508
403,973,931,1536,1483
404,998,973,1538,1486
405,1025,981,1467,1582
406,993,989,1457,1518
407,966,1008,1540,1516
408,990,959,1485,1441
409,984,953,1466,1462
410,1051,1058,1471,1524
411,968,1008,1514,1540
412,1006,1072,1495,1442
413,891,1073,1487,1530
414,1032,990,1514,1525
415,1011,1023,1493,1516
416,1044,1019,1489,1533
417,993,997,1535,1520
418,923,1034,1528,1471
