time,x,y
0.0,0.4,0.4
100.00006252845324,2.06,2.886
200.00008016532297,1.864,3.098
300.0000969313573,2.058,2.964
400.00042280006903,2.444,3.084
500.00053232997277,2.12,2.87
600.000082406158,1.974,2.566
700.0000919155998,2.052,3.202
800.0000220675139,2.088,2.928
900.0001759087729,2.06,3.468
1000.0005843923991,1.876,2.936
1100.0000976798572,1.904,2.926
1200.0001116246574,1.92,2.856
1300.000285866985,2.268,3.394
1400.0002524836652,1.696,2.78
1500.000057548064,1.904,2.88
1600.0000587536479,2.168,3.472
1700.0004473870376,1.784,2.728
1800.0000067046578,2.152,3.3
1900.0002220096744,1.982,3.346
2000.0003350704892,2.036,2.988
2100.0000073054584,2.002,3.298
2200.000263665942,2.312,3.722
2300.000179326826,2.394,3.462
2400.000230754564,2.264,2.974
2500.000024676729,1.85,2.968
2600.000226290821,1.89,2.754
2700.0000098504133,2.062,3.162
2800.000112048264,2.294,3.78
2900.00072972217,1.888,2.788
3000.0000715408414,2.008,3.204
3100.000382916274,1.94,3.08
3200.000029454913,2.142,3.284
3300.0000429297625,1.974,2.98
3400.001359867266,1.76,2.702
3500.0005524018407,2.144,3.406
3600.00020269556,2.01,3.324
3700.000100923993,1.902,2.948
3800.0000688398745,2.006,3.266
3900.0001771533452,1.954,3.11
4000.000014487226,1.856,2.512
4100.000289526191,2.134,2.86
4200.0000062491135,1.796,2.77
4300.00012626477,1.914,3.318
4400.000062408171,1.824,2.756
4500.000453621838,1.738,2.572
4600.000333343945,1.942,2.924
4700.00073105548,2.054,3.28
4800.000874648411,2.032,2.684
4900.000202162311,1.908,2.818
5000.000032605316,2.09,3.204
5100.0009666525075,2.024,3.2
5200.001034325724,1.856,3.254
5300.000181026733,1.85,3.054
5400.000101976502,1.944,3.262
5500.000627269884,2.104,2.988
5600.000047624992,2.118,3.406
5700.000060896966,2.11,3.33
5800.000061035997,1.992,2.794
5900.000466271432,2.142,2.916
6000.000132028054,1.876,2.852
6100.000043672302,1.914,2.968
6200.000706254633,2.192,2.804
6300.00020764238,1.924,2.926
6400.000176099645,2.0,3.11
6500.000008121774,2.136,3.498
6600.000436066173,1.964,3.052
6700.000108725958,1.678,2.68
6800.0001709077615,1.964,3.086
6900.000030528064,2.018,3.038
7000.000197497112,1.826,3.056
7100.000029988321,1.91,2.74
7200.000466602213,2.138,2.854
7300.000227863316,1.934,2.682
7400.000013280955,1.966,2.772
7500.00006596583,2.008,2.954
7600.000141927519,2.254,3.028
7700.000170087799,1.926,3.138
7800.0001282741305,1.792,2.724
7900.00002251061,2.068,2.862
8000.000331721861,2.006,2.548
8100.000003856408,1.958,3.162
8200.00006980093,2.188,3.384
8300.000143657504,1.91,2.712
8400.000119842633,2.17,2.852
8500.000495920536,1.832,2.778
8600.00001978773,2.16,3.262
8700.000155196383,1.964,3.258
8800.000062351253,2.024,2.848
8900.000146431401,1.908,2.91
9000.000278994365,2.084,2.584
9100.000043984079,2.054,2.802
9200.000391641139,2.234,3.224
9300.000214637896,2.152,3.128
9400.00007658048,1.758,2.32
9500.000539424294,2.202,2.966
9600.000118141628,1.946,3.042
9700.000121617477,2.106,2.864
9800.000005473328,2.164,3.138
9900.000180909807,2.048,3.242
10000.000093394496,1.972,2.974
10100.000351921166,2.19,3.22
10200.000008939629,2.078,3.074
