generation,X,Y,Total_C
1,196,186,200
2,199,183,0
3,209,175,0
4,220,162,0
5,211,163,0
6,248,150,0
7,232,154,0
8,266,148,0
9,257,138,0
10,253,128,0
11,269,139,0
12,262,130,0
13,262,119,0
14,283,114,0
15,291,115,0
16,273,108,0
17,292,111,0
18,343,121,0
19,324,110,0
20,305,99,0
21,347,84,0
22,343,110,0
23,389,95,0
24,288,97,0
25,369,80,0
26,363,102,0
27,446,86,0
28,434,71,0
29,373,88,0
30,449,86,0
31,446,89,0
32,422,69,0
33,457,88,0
34,572,70,0
35,443,73,0
36,535,75,0
37,531,80,0
38,621,82,0
39,527,58,0
40,570,79,0
41,530,71,0
42,628,91,0
43,609,70,0
44,684,87,0
45,636,62,0
46,704,92,0
47,670,48,0
48,608,55,0
49,691,59,0
50,788,81,0
51,910,112,0
52,714,70,0
53,830,59,0
54,842,78,0
55,726,59,0
56,930,108,0
57,810,57,0
58,769,57,0
59,858,65,0
60,864,64,0
61,1216,189,0
62,882,57,0
63,915,64,0
64,1175,79,0
65,1040,106,0
66,1092,55,0
67,977,98,0
68,1273,165,0
69,1158,76,0
70,1124,157,0
71,1063,65,0
72,1523,197,0
73,1146,55,0
74,1178,76,0
75,1359,87,0
76,1452,70,0
77,1389,117,0
78,1676,203,0
79,1563,370,0
80,1667,228,0
81,1477,265,0
82,1811,275,0
83,1930,340,0
84,1847,224,0
85,1870,613,0
86,1567,187,0
87,1834,186,0
88,1373,139,0
89,1782,326,0
90,2170,563,0
91,2181,661,0
92,2440,643,0
93,2297,797,0
94,1891,313,0
95,2277,853,0
96,2197,1067,0
97,2172,1005,0
98,2071,1343,0
99,2255,1170,0
100,2252,1673,0
101,1948,1174,0
102,2098,449,0
103,2485,1122,0
104,2315,1062,0
105,2383,1727,0
106,2857,990,0
107,2122,1029,0
108,2157,2014,0
109,2642,1369,0
110,2007,1472,0
111,2246,2396,0
112,2698,2302,0
113,2398,1853,0
114,2340,1823,0
115,2423,1769,0
116,2370,1405,0
117,2514,2344,0
118,2152,2848,0
119,2490,2510,0
120,2595,1927,0
121,1762,2808,0
122,2683,2317,0
123,1780,3052,0
124,1886,3114,0
125,1667,3304,0
126,2496,2504,0
127,2148,2852,0
128,2141,2859,0
129,2048,2952,0
130,2131,2869,0
131,2210,2790,0
132,1786,3214,0
133,1541,3245,0
134,1733,3267,0
135,1948,3052,0
136,1660,3331,0
137,1408,3340,0
138,1788,3212,0
139,1505,3342,0
140,2291,2709,0
141,1395,3397,0
142,1653,3334,0
143,2371,2629,0
144,1740,3260,0
145,1743,3257,0
146,1880,3120,0
147,1691,3309,0
148,1398,3374,0
149,1692,3308,0
150,1888,3106,0
151,1169,3119,0
152,1247,3122,0
153,1167,3114,0
154,1286,3242,0
155,1127,3023,0
156,1326,3381,0
157,1205,2988,0
158,1237,3191,0
159,1255,3225,0
160,1173,3219,0
161,1718,3282,0
162,981,2904,0
163,1107,3085,0
164,905,2753,0
165,1334,3308,0
166,1156,3101,0
167,972,2779,0
168,980,2823,0
169,1130,3247,0
170,932,2544,0
171,1391,3342,0
172,781,2204,0
173,912,2535,0
174,1071,2984,0
175,1008,2731,0
176,799,2249,0
177,1024,2837,0
178,942,2661,0
179,1026,2915,0
180,1020,2897,0
181,884,2506,0
182,1024,2923,0
183,920,2619,0
184,822,2162,0
185,814,1960,0
186,816,2097,0
187,767,1944,0
188,946,2585,0
189,785,1889,0
190,836,2341,0
191,943,2543,0
192,836,2152,0
193,850,1946,0
194,865,1985,0
195,840,2309,0
196,812,1829,0
197,836,2344,0
198,850,1905,0
199,823,1933,0
200,728,1608,0
201,652,1475,0
202,783,1648,0
203,792,1853,0
204,818,1647,0
205,733,1956,0
